date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,4.6,3.8,9.4,0,,291,6.6,,1022.5,
2024-01-02 00:00:00,5.4,2.8,8.2,2,,218,9.8,,1023,
2024-01-03 00:00:00,10.2,8.1,12.1,2.7,,231,13.8,,1019.7,
2024-01-04 00:00:00,9.2,8.2,10.6,9.7,,246,9.1,,1016,
2024-01-05 00:00:00,6.3,4.6,8.6,0.1,,274,18.9,,1011,
2024-01-06 00:00:00,5.1,3.6,9.6,0,,287,17,,1019.7,
2024-01-07 00:00:00,3.1,1.8,9.3,0,,311,7.6,,1023.9,
2024-01-08 00:00:00,1.8,-0.8,6.2,0,,261,5.8,,1022.7,
2024-01-09 00:00:00,4.7,4.1,7.2,0,,56,4.8,,1020.3,
2024-01-10 00:00:00,5,4.7,8,0.2,,254,10.8,,1019.9,
2024-01-11 00:00:00,3.7,2.3,7.6,0,,21,9.8,,1022.5,
2024-01-12 00:00:00,1.7,-0.4,6.9,0,,33,10.1,,1027.3,
2024-01-13 00:00:00,4.1,2.2,9,0,,29,5.8,,1026,
2024-01-14 00:00:00,7.2,5.8,8.6,4.3,,289,8.6,,1020.3,
2024-01-15 00:00:00,11.2,8.4,13.3,2.6,,235,16.4,,1014.9,
2024-01-16 00:00:00,12.7,11.1,13.7,7.5,,221,17.2,,1012.3,
2024-01-17 00:00:00,10.9,10,12.3,1.1,,216,25.6,,1004.6,
2024-01-18 00:00:00,10.9,10,14.3,12.4,,230,22.2,,1009.4,
2024-01-19 00:00:00,6.9,3.6,10.8,16.3,,36,18.9,,1008.7,
2024-01-20 00:00:00,6.1,2.7,9.9,0,,30,11.5,,1024.4,
2024-01-21 00:00:00,5.6,4,11,0,,318,6.2,,1033.9,
2024-01-22 00:00:00,5.1,3.1,10.6,0,,50,5,,1037.2,
2024-01-23 00:00:00,6.1,4.4,14.9,0,,35,5.7,,1039,
2024-01-24 00:00:00,9,5.9,17.5,0,,36,6.6,,1038.1,
2024-01-25 00:00:00,9.5,5.9,17.3,0,,35,6.6,,1034.4,
2024-01-26 00:00:00,10.5,5.9,18.8,0,,34,7.4,,1031.8,
2024-01-27 00:00:00,10.1,9.6,18,0,,33,8.5,,1029.4,
2024-01-28 00:00:00,9.2,8,16.3,0,,40,6.9,,1028,
2024-01-29 00:00:00,9.2,7.7,14.9,0,,39,7.3,,1028.8,
2024-01-30 00:00:00,8.1,5.9,13,0,,61,5.7,,1031.8,
2024-01-31 00:00:00,6.8,4.7,10.5,0,,43,5.7,,1034.6,
2024-02-01 00:00:00,8.8,4.6,16.8,0,,24,9.1,,1034.8,
2024-02-02 00:00:00,8.2,5.2,14.8,0,,31,10.4,,1032.4,
2024-02-03 00:00:00,7.9,5.9,15.2,0,,35,8.6,,1032.4,
2024-02-04 00:00:00,8.1,4.6,16.6,0,,23,6.1,,1031.6,
2024-02-05 00:00:00,7.5,4.6,14.9,0,,21,7.1,,1029.5,
2024-02-06 00:00:00,8.7,5.9,13.7,0,,304,7.7,,1026.4,
2024-02-07 00:00:00,8.1,4,12.4,0,,256,14,,1024.5,
2024-02-08 00:00:00,9.4,8.5,12.6,6.2,,205,17.7,,1013.5,
2024-02-09 00:00:00,9.5,7.9,11.7,5.9,,204,19.2,,994.1,
2024-02-10 00:00:00,7.2,5.3,11.3,0.4,,266,22.6,,999.3,
2024-02-11 00:00:00,4.2,4.3,8.3,0.1,,235,14,,1012.4,
2024-02-12 00:00:00,9.1,6,15.7,0,,242,15.2,,1014.5,
2024-02-13 00:00:00,10.9,10.1,16,0,,249,11,,1023,
2024-02-14 00:00:00,11.9,11.1,17.3,0,,29,8.7,,1023.8,
2024-02-15 00:00:00,11.1,10.4,14,4.3,,90,10.1,,1017.4,
2024-02-16 00:00:00,10.8,8.3,15.1,0,,273,12.2,,1023,
2024-02-17 00:00:00,8.4,4.8,16.8,0,,6,6.9,,1030.9,
2024-02-18 00:00:00,8.8,5.5,17.4,0,,24,6.6,,1034.6,
2024-02-19 00:00:00,10.4,7.5,18.5,0,,28,10.1,,1032.9,
2024-02-20 00:00:00,9.8,5.7,18.8,0,,357,7.6,,1030.6,
2024-02-21 00:00:00,9.6,6.1,15.3,0,,275,9.5,,1025.9,
2024-02-22 00:00:00,10.3,7.7,12.6,4.5,,244,23.2,,1016.2,
2024-02-23 00:00:00,5.9,4.1,9.6,0.2,,260,20.2,,1013.1,
2024-02-24 00:00:00,5.9,3.4,10.3,0,,274,20.3,,1014.5,
2024-02-25 00:00:00,9.4,6.1,13.7,0.3,,239,28.1,,1012.1,
2024-02-26 00:00:00,8.1,6.1,11.5,0,,282,22.5,,1007.5,
2024-02-27 00:00:00,5.9,4,11.7,0,,321,19.1,,1018.7,
2024-02-28 00:00:00,5.9,2.2,14.1,0,,353,15.9,,1023.7,
2024-02-29 00:00:00,6.5,2.6,14,0,,275,13.9,,1019.8,
2024-03-01 00:00:00,6.5,3.2,13.2,0,,267,19.5,,1019.4,
2024-03-02 00:00:00,6.4,2.3,8.7,11.7,,238,26.2,,1007.8,
2024-03-03 00:00:00,5.2,2.5,10.1,0,,269,20.7,,1012.1,
2024-03-04 00:00:00,7.7,6.1,13.1,0,,246,18.9,,1018.1,
2024-03-05 00:00:00,7.4,5.3,13.7,0,,311,9.8,,1023.9,
2024-03-06 00:00:00,6.7,0,13.7,0,,62,7.4,,1021.4,
2024-03-07 00:00:00,7.4,3.3,13.3,7,,168,15.1,,1010.3,
2024-03-08 00:00:00,6.5,4.4,10.8,9,,214,25,,1005.6,
2024-03-09 00:00:00,6.2,4.4,8.8,2.3,,227,24.2,,996.9,
2024-03-10 00:00:00,7.7,4.6,12.7,0.4,,251,22.4,,1001.8,
2024-03-11 00:00:00,8.1,6.1,13.9,0,,294,17.6,,1018.7,
2024-03-12 00:00:00,8.3,4.6,16.5,0,,56,6.2,,1023.1,
2024-03-13 00:00:00,10.1,6.1,18.6,0,,44,7.6,,1018.1,
2024-03-14 00:00:00,10.8,6.9,16.9,0,,243,12,,1018.2,
2024-03-15 00:00:00,10.9,6.3,17.9,0,,263,9,,1022.2,
2024-03-16 00:00:00,11.9,8.9,19.2,0,,341,6.9,,1025.4,
2024-03-17 00:00:00,13.7,10.9,21,0,,345,6.1,,1022.2,
2024-03-18 00:00:00,14.2,10.6,21.2,0,,18,6.2,,1018.9,
2024-03-19 00:00:00,15.6,12.5,23.5,0,,109,8.9,,1015.2,
2024-03-20 00:00:00,15.1,13,23.5,0.2,,110,10.8,,1014.1,
2024-03-21 00:00:00,16.5,13.4,24.4,0.4,,62,14.4,,1019.5,
2024-03-22 00:00:00,17.9,13.7,25.5,0,,65,11.1,,1018.9,
2024-03-23 00:00:00,17,12.9,24.4,0,,40,13.8,,1017.3,
2024-03-24 00:00:00,16.7,12.5,22.2,1.8,,62,12.4,,1011.6,
2024-03-25 00:00:00,12.2,9,14.9,0.5,,186,13.2,,999.1,
2024-03-26 00:00:00,6.6,3.7,10.6,1.5,,247,21.4,,995.2,
2024-03-27 00:00:00,8.4,4.2,13.8,1.1,,238,29.9,,997.5,
2024-03-28 00:00:00,10.9,6.8,16.8,12.2,,222,26.6,,999.9,
